Professional Fees,,testing,,,,,,,,
Legal Fees,,,,,,,,,,
,Type,Date,Num,Name,Memo,Clr,Split,Original Amount,Paid Amount,Balance
,Bill,1/24/2012,20600446,"Haynes and Boone, LLP",Allstate agreement review and revisions,,Accounts Payable,"$6,426.00 ","$6,426.00 ","$6,426.00 "
,Bill,2/27/2012,20604847,"Haynes and Boone, LLP",Allstate Agreement,,Accounts Payable,"$3,782.00 ","$3,782.00 ","$76,006.50 "
,Bill,3/15/2012,20609509,"Haynes and Boone, LLP",Review Allstate agreement,,Accounts Payable,"$1,488.00 ","$1,488.00 ","$87,599.50 "
,Bill,4/18/2012,20614574,"Haynes and Boone, LLP",Allstate Agreement SOW,,Accounts Payable,"$1,426.00 ","$1,426.00 ","$125,125.00 "
,Bill,7/26/2012,20619822,"Haynes and Boone, LLP",Allstate agreement,,Accounts Payable,$248.00 ,$248.00 ,"$192,113.99 "
,Bill,4/2/2012,160849,Olshan Grundman Frome Rosenzweig &Wolosky,8726,,Accounts Payable,"$3,449.00 ","$3,449.00 ","$91,218.50 "
,Bill,6/6/2012,161688,Olshan Grundman Frome Rosenzweig &Wolosky,FTC conference and research,,Accounts Payable,"$2,445.99 ","$2,445.99 ","$128,148.49 "
,Credit Card Charge,5/15/2012,,Olshan Grundman Frome Rosenzweig &Wolosky,003608488  LEGAL SERVICE371554536144006,,AMEX Plum,$577.50 ,$577.50 ,"$125,702.50 "
,Bill,8/9/2012,163600,Olshan Grundman Frome Rosenzweig &Wolosky,Email from Wiley,,Accounts Payable,$105.00 ,$105.00 ,"$192,218.99 "
,Bill,3/6/2012,348240,"Palmieri, Tyler, Wiener, Wilhelm & Waldro","Corporate Governance compliance, changes to Articles and equity",,Accounts Payable,"$10,105.00 ","$10,105.00 ","$86,111.50 "
,Bill,8/9/2012,352385,"Palmieri, Tyler, Wiener, Wilhelm & Waldro",36769-001,,Accounts Payable,"$10,010.50 ","$10,010.50 ","$221,512.99 "
,Bill,8/9/2012,352108,"Palmieri, Tyler, Wiener, Wilhelm & Waldro",36769-000,,Accounts Payable,"$2,995.00 ","$2,995.00 ","$210,969.49 "
,Bill,8/9/2012,350903,"Palmieri, Tyler, Wiener, Wilhelm & Waldro",36769-000,,Accounts Payable,"$2,040.00 ","$2,040.00 ","$207,358.99 "
,Bill,8/9/2012,349970,"Palmieri, Tyler, Wiener, Wilhelm & Waldro",36769-000,,Accounts Payable,$615.50 ,$615.50 ,"$207,974.49 "
,Bill,8/9/2012,352109,"Palmieri, Tyler, Wiener, Wilhelm & Waldro",36769-002,,Accounts Payable,$533.00 ,$533.00 ,"$211,502.49 "
,Bill,4/2/2012,349136,"Palmieri, Tyler, Wiener, Wilhelm & Waldro",Equity & Stock issues,,Accounts Payable,$170.00 ,$170.00 ,"$87,769.50 "
,Credit Card Charge,8/24/2012,,"Stubbs Alderton & Markiles, LLP",Legal Retainer - Investor Owner rights,,AMEX Plum,"$10,000.00 ","$10,000.00 ","$231,512.99 "
,Bill,2/27/2012,1070275,"Wiley Rein, LLP",Legal fees for FTC CID,,Accounts Payable,"$63,769.00 ","$63,769.00 ","$72,224.50 "
,Bill,4/12/2012,1075549,"Wiley Rein, LLP",FTC Case,,Accounts Payable,"$32,480.50 ","$32,480.50 ","$123,699.00 "
,Bill,6/30/2012,1086678,"Wiley Rein, LLP",,,Accounts Payable,"$29,174.00 ","$29,174.00 ","$177,545.49 "
,Bill,6/6/2012,1081063,"Wiley Rein, LLP","Delcourt, Sound files,etc",,Accounts Payable,"$20,223.00 ","$20,223.00 ","$148,371.49 "
,Bill,6/30/2012,1092484,"Wiley Rein, LLP",,,Accounts Payable,"$14,320.50 ","$14,320.50 ","$191,865.99 "
,Bill,8/9/2012,1098241,"Wiley Rein, LLP",FTC,,Accounts Payable,"$13,100.00 ","$13,100.00 ","$205,318.99 "
,Bill,1/24/2012,1065245,"Wiley Rein, LLP",Everbridge Agreement - Mobile Marketing,,Accounts Payable,"$2,029.50 ","$2,029.50 ","$8,455.50 "
Total Legal Fees,,,,,,,,,"$231,512.99 ","$231,512.99 "
Total Professional Fees,,,,,,,,,"$231,512.99 ","$231,512.99 "
TOTAL,,,,,,,,,"$231,512.99 ","$231,512.99 "
